"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52"
"SRSF11",22877.0352642162,3571.77664402243,718.520763081593,478.612318305767,701.498113759758,212.919035379763,2960.10135775851,-4789.97699137975,-5731.65228514797,2573.69856346123,4015.09289394377,19.9494815744209,-1569.65037660677,-1944.9589957097,534.544307206882,-493.381746427632,-618.263942451261,632.361308893162,-1755.20292144775,755.690472774035,312.301243344599,1385.51670053664,-1277.03119178478,-27.4075995352876,2560.16498576842,615.092521032795,687.693064966063,-888.232893929199,-882.725813340486,-648.388529173768,951.340038649859,-1274.82838499247,313.387343285853,180.94392442116,-944.526823255459,950.357163737831,155.628444565709,-937.648725105436,328.402523617188,-297.784867924359,-26.2118392258372,-332.659018297853,1045.56999836856,1014.75462842464,231.853343017693,250.638429227642,-127.307483478249,1604.64093139707,-756.977718343304,1091.41778407014,918.392121773501,1600.73575630751
"POGZ",7294.3998240211,1511.77741290265,320.866838816666,-310.99395083614,280.427177141118,-103.597429981347,1298.99606468817,-1055.44955068983,-1679.94942903164,636.047799566622,1722.90894879067,390.377168117962,-308.927025590958,-132.501833367871,34.6055621362808,-319.10695931701,-269.952529213538,59.1152841911671,-332.976099640992,64.5329939742423,-90.9776700037193,214.632548304146,-338.871971571289,-239.294546148197,1162.4422512327,-175.347303716037,-268.960455699197,-486.244974348949,-3.77890353126796,-245.128463006604,444.552267443292,-363.369707234852,251.195322659881,379.217984063897,-174.67424284198,366.768314116435,-599.137277740847,-213.284788637024,-271.337331710266,136.816903437358,463.148824476487,-167.718150628559,87.8339731335636,60.0910899139368,-430.946012473709,161.087683084159,104.247044348911,411.318187174538,-159.907213380729,292.920762332983,351.684324991388,-20.0670052890801
"ILF2",23219.1660011423,10606.8582888848,2113.27438322496,2709.24797516954,-830.038806707209,-4249.10145058858,-562.207056135267,-1482.57723727945,2319.21802343251,-822.673660888854,120.518086708255,-354.782747585882,-5789.64453267036,-413.845415597446,892.645221961638,-549.09797288932,660.365902449205,160.574539850496,-851.409859520677,-1708.35257767394,-174.932402511199,377.508256730696,-770.79364982837,-1439.36318421972,1311.48217454781,1219.41842385254,966.582184284454,-97.6948475328787,132.633248794148,-78.9824136388621,646.180434988711,1107.40047971418,-289.288120029515,1345.81496246178,-468.960849437159,-91.2488803021965,-1194.51008794383,-1381.22737968183,-231.20824689309,316.594456623701,745.505128818591,-1011.03852540031,-519.703666438135,-988.050802355293,-167.611070848601,733.193837610054,-899.517377657772,-1497.14536334145,911.1052728711,111.179095388529,-330.441688658024,-836.059568286652
"ASH1L",8035.95873350566,1489.05323848005,204.600727159571,-228.934598952879,200.520919588778,659.794396772088,721.308117952542,-1634.03142123086,-1653.04630913944,560.170075073565,713.787025595335,432.854217105885,286.663096351916,-600.055262220946,259.530461175036,-683.284475081399,-487.109906073392,1096.00004730109,-216.053112434188,110.447668743425,176.944411001874,459.901882701896,314.696063983133,168.196772808092,2.64758424274546,297.523701519872,-436.480140015851,-688.01742649744,-22.096096272225,-297.695691303088,897.145465082447,-593.696222656806,361.308293149909,-148.892578344344,-189.719433620225,-365.77560234264,-1300.24766339878,-76.2552549859818,276.439520966929,-412.296229012212,110.153892038345,-276.716007668062,-797.272294232208,445.595532704156,571.907624899549,7.89562670186539,454.998923083758,377.558106587106,353.277709591449,301.167125877225,-82.763856568406,-402.443521585847
"KDM5B",8069.63756339849,1559.00726759617,308.698276852931,-1762.48327507356,64.4090226957318,169.564831314429,1229.5286346679,-797.526244646268,-1212.09510078067,466.674185902566,1823.15035746541,-164.876360413652,-874.883065151802,583.860219951518,70.8204092827902,-434.731868101346,-207.581813803422,224.906441356521,-446.441569013048,-71.5555488175816,178.90323811352,66.5400073346355,501.455009556302,-550.941429128409,295.799444264521,70.1964743803052,39.8437553170547,-526.752793982036,-502.786706979464,-389.009311788193,722.755741689516,490.642638519858,5.73793497653755,470.932672666644,-325.886335626204,113.354219567768,371.103320199532,-277.103271658726,183.38468713132,-378.6834558031,0.373909219001843,-542.593225361491,-555.52194230309,284.300569720748,62.7415526818929,186.812063658072,-382.371814042809,218.429457805608,-477.217637931815,17.7581667783069,-35.8447935586331,244.562508939657
"DIP2C",4143.94228849676,1136.53841317922,166.955380376133,-1149.18674400872,71.5482256618263,258.729295201587,1039.43762458061,-1041.20808733226,-1837.8472665401,593.739636924674,996.779375473497,-457.129806089801,341.662608655556,-316.186712865596,16.3375565295612,139.281160057456,-311.063109732368,790.39292926364,-672.527336723067,646.517279758204,-446.357359808535,-412.440227964373,-1.13657341448209,588.21325762009,-541.076639317643,-477.788859387239,76.2226597770881,-203.917143386192,-64.99404487797,233.45755153795,-323.297110247795,-551.666859271049,1017.73169856389,57.5518492767828,404.286593548557,-492.70131422158,-1101.64451032866,-71.4825070276089,-252.033484434661,723.575421763737,-155.897927939714,-71.7400521740561,-584.308731096345,192.303420138654,432.14256707391,-17.2573494789686,-323.047098317247,-181.771699241913,167.837873649561,191.618923465639,-479.195588595443,-638.020687050223
"WAC",10329.5308270026,3243.31928200923,177.016456101154,159.775985918997,693.749890268351,178.553860515158,939.765454343417,-1614.44522131274,-1623.43191751084,-118.909864049713,1660.38861252588,985.42033364444,-595.724948614025,-70.6034355136783,4.373047028183,-643.890610490535,-271.287227484906,510.782810159562,-818.909346947531,-602.172913266834,-161.652322519577,576.978611574036,-113.040172527824,-407.070197149682,143.299571307614,510.745837036414,-308.077476842489,-459.976432695199,-197.977434395124,-388.93380192644,-193.30057785279,-764.803837031646,107.387053089823,784.118646308119,-462.581789355482,-278.447636131989,282.560121499049,-697.636655504552,-314.196102723953,-234.692091497583,216.355472316202,-196.937924525613,-665.88640674625,-219.791773942766,-44.3236548577207,337.2256217739,-227.777187431786,73.076288382183,-317.691618951085,342.553985670747,-1027.11261924924,178.127932505728
"PTEN",4046.54594634867,2151.54754822833,14.9501597751437,298.499465232162,98.0371246514037,1594.65343037224,-98.2489007599501,-540.619805809691,-729.83933284992,499.093749633732,877.601274078952,971.28550249197,1101.15281243547,-1071.48627273836,631.693307850074,-2097.37515538891,-758.533367177911,-636.000016533393,-202.127749840725,-394.289194187825,174.833620273995,-652.964934130163,263.863918551445,-96.5619460444312,232.400489851433,-222.520231261417,-30.4887027191942,-394.946173590157,-43.3959098776284,248.641220718265,667.49890394184,-45.8817172918085,254.89285767351,104.78177234388,217.81046953571,-55.8616437474768,177.767473467594,217.542881875061,-133.308086984768,59.1391424477821,68.0626778344402,581.693831413977,34.8833140757406,-233.3846980726,89.4060782238709,134.525544959344,55.8641404687757,18.532969877788,-416.282166101592,257.410862006243,-45.7797300254475,-24.1069409829651
"DEAF1",2462.52786528003,1253.64975002381,-116.62495874497,-708.524697265267,457.84905214927,377.616959375722,528.594449123288,-945.026161265626,-1188.58274074989,138.168278466826,-243.609533714199,714.066755200423,546.398295945125,-754.977384434465,239.406940634896,182.293749363487,65.9025976291815,38.1199683385246,-132.640668283425,116.771568875173,-414.641485631878,-138.300422709131,-0.886418632967309,101.843816047926,-354.667157780026,-16.1528174941434,-143.864337826191,106.038373284756,-84.5139651893892,-500.431623802204,-168.010463663285,30.7269442138145,94.5646196670941,168.117572706102,630.424342561459,256.323349944712,-127.061027709556,384.991774221518,-149.207345425334,241.203649198212,-101.046517002032,130.298217508408,-62.6213203508856,-158.340139722546,190.147949223609,-192.770983060303,-167.465599713387,288.481016990796,-437.142081240717,82.6859629990659,-62.0026583126334,-158.448058725945
"SHANK2",2871.02147364349,868.997545874645,29.2888002972117,-1484.50507847888,316.196932783712,-161.499780636407,1172.34143910473,-338.54934178722,-1985.4631364637,526.806954910584,636.935264891464,1133.04525046136,385.534180817196,-555.752342368799,93.7283686240906,-57.5877084533232,-26.8162679008315,651.101857160463,-488.674855593115,-247.027921592826,3.87341149072288,870.83833737514,-129.505126272,208.631329279132,484.989021209513,238.211708117528,192.115382720803,-95.6500065321227,295.208979938499,162.203733559961,-16.2491818720117,2.02776002914211,-42.2002668036313,545.538278930551,54.9148069724365,-464.627486967133,-47.2039312412941,115.611854772939,-74.6326610427047,-22.5998140045478,155.265265315554,282.286357298821,-15.3910497851261,-284.344716249182,-124.294342606852,159.561570622385,28.8054611232431,-76.6246128983292,-154.898818171733,126.95286202347,-245.941242725173,210.660409630172
