"","hOMTN_6","hProgFPM_6","Unk_6","hNProg_6","hProgFPL_6","hProgM_6","hProgBP_6","hNbML1_6","hEndo_6","hRgl3_6","hNbM_6","hDA0_6","hMgl_7","hRgl2a_7","Unk_7","hNProg_7","hProgBP_7","hProgM_7","hOMTN_7","hDA0_7","hNbM_7","hProgFPL_7","hEndo_7","hProgFPM_7","hRgl2b_7","hNbML5_7","hRgl3_7","hRN_7","hPeric_7","hDA1_7","hRgl1_7","Unk_8","hProgFPM_8","hProgFPL_8","hProgBP_8","hProgM_8","hOMTN_8","hRgl1_8","hNProg_8","hRN_8","hDA1_8","hNbM_8","hDA0_8","hNbML1_8","hNbML5_8","hMgl_8","hRgl2b_8","hGaba_9","hRgl2a_9","Unk_9","hDA2_9","hSert_9","hOMTN_9","hDA0_9","hDA1_9","hMgl_9","hNbGaba_9","hRgl2b_9","hNbM_9","hPeric_9","hRgl3_9","hNProg_9","hProgBP_9","hRgl1_9","hProgM_9","hNbML5_9","hEndo_9","hRN_9","hNbML1_9","hProgFPL_9","hProgFPM_9","hPeric_10","hRgl2a_10","Unk_10","hRgl3_10","hProgM_10","hProgBP_10","hRgl2b_10","hDA2_10","hNProg_10","hDA0_10","hRgl1_10","hEndo_10","hRgl2c_10","hGaba_10","hOPC_10","hMgl_10","hDA1_10","hNbM_10","hNbML5_10","hNbGaba_10","hSert_10","hOMTN_10","hRgl2b_11","hOPC_11","hPeric_11","hRgl2a_11","Unk_11","hRgl2c_11","hNProg_11","hRgl3_11","hEndo_11","hDA0_11","hProgM_11","hRgl1_11","hSert_11","hOMTN_11","hMgl_11","hNbM_11","hDA2_11","hGaba_11","hNbGaba_11","hProgBP_11"
"CPEB2",0.153846153846154,0.0175438596491228,0,0.0740740740740741,0.0294117647058824,0.027027027027027,0.0217391304347826,0.25,0.333333333333333,0,0,0,0,0.0588235294117647,0,0,0.0625,0.25,0.117647058823529,0,0,0,0,0,0,0.166666666666667,1,0.111111111111111,0,0,0.5,0.0740740740740741,0.130434782608696,0.0769230769230769,0.03125,0.0555555555555556,0.137931034482759,0,0.0930232558139535,0.0909090909090909,0,0.232558139534884,0,0.166666666666667,0.4,0.25,0,0.369565217391304,0.230769230769231,0.215384615384615,0.333333333333333,0.333333333333333,0.238095238095238,0.133333333333333,0.461538461538462,0,0.5625,0,0.0833333333333333,0.333333333333333,0.666666666666667,0.153846153846154,0.111111111111111,0,0.666666666666667,0.310344827586207,0.2,0.222222222222222,0.1,0,0,0.226086956521739,0.11,0.135135135135135,0.238095238095238,0.25,0,0.111111111111111,0.142857142857143,0.2,0,0.0588235294117647,0.25,0.166666666666667,0.3,0,0,0.333333333333333,0.263157894736842,0.285714285714286,0.666666666666667,0.5,0.428571428571429,0.166666666666667,0.0952380952380952,0.154929577464789,0.15,0.205128205128205,0.1,0.333333333333333,0.44,0.232558139534884,0,0,0.222222222222222,0,0.166666666666667,0,0,0.25,0,0.333333333333333,0.25
"ERI2",0.115384615384615,0.157894736842105,0.0606060606060606,0.037037037037037,0.147058823529412,0.108108108108108,0.217391304347826,0,0,0,0,0,0,0.235294117647059,0.0588235294117647,0,0.0625,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0.5,0,0,0.12962962962963,0,0.0769230769230769,0.09375,0,0.0689655172413793,0.25,0.0697674418604651,0.0909090909090909,0,0.0465116279069767,0,0,0,0.5,0,0.0217391304347826,0,0.0307692307692308,0,0,0.0952380952380952,0,0,0,0.0625,0,0,0,0,0.0769230769230769,0,0,0,0.0344827586206897,0,0,0.2,0,0,0.0608695652173913,0.11,0.0405405405405405,0.0476190476190476,0,0.25,0.0555555555555556,0,0,0.1875,0.0588235294117647,0.125,0,0,0.125,0,0,0.0526315789473684,0.142857142857143,0,0,0.142857142857143,0.104166666666667,0.142857142857143,0.0985915492957746,0.075,0.0512820512820513,0.15,0,0.04,0.0930232558139535,0,0,0,0,0,0.142857142857143,0,0,0,0,0
"IZUMO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.0769230769230769,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MICAL2",0.0384615384615385,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461538461538462,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0.333333333333333,0.125,0,0,0,0.0140845070422535,0,0.0512820512820513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
"MYH10",0.769230769230769,0.614035087719298,0.454545454545455,0.62962962962963,0.735294117647059,0.783783783783784,0.717391304347826,0.75,0.666666666666667,1,0.3,1,0,0.588235294117647,0.294117647058824,0.666666666666667,0.5,0.25,0.529411764705882,0.333333333333333,0.4,0.6,1,0,0.5,0.333333333333333,0,0.444444444444444,0.5,0.6,1,0.425925925925926,0.565217391304348,0.692307692307692,0.59375,0.388888888888889,0.793103448275862,0.625,0.534883720930233,0.5,0.5,0.558139534883721,0.25,0.566666666666667,0.4,0.25,1,0.521739130434783,0.538461538461538,0.338461538461538,0.75,0.333333333333333,0.714285714285714,0.333333333333333,0.615384615384615,0,0.3125,1,0.833333333333333,0,0.666666666666667,0.461538461538462,0.722222222222222,0.666666666666667,0.666666666666667,0.551724137931034,0.8,0.444444444444444,0.8,0.5,0,0.530434782608696,0.63,0.432432432432432,0.333333333333333,0.5,0.5,0.5,0.523809523809524,0.6,0.5,0.470588235294118,0.75,0.5,0.6,0.625,0.25,0.5,0.578947368421053,0.857142857142857,0.666666666666667,0.5,0.857142857142857,0.395833333333333,0.714285714285714,0.422535211267606,0.5875,0.307692307692308,0.6,0.333333333333333,0.6,0.744186046511628,0.4,0,0.555555555555556,0.666666666666667,0.666666666666667,0.142857142857143,1,0.5,0.666666666666667,0,0.75
"MYO18A",0,0.0175438596491228,0,0,0.0588235294117647,0.108108108108108,0,0,0,0,0,0,0,0.0588235294117647,0,0.222222222222222,0.125,0,0.117647058823529,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0.217391304347826,0,0.0625,0.0555555555555556,0.206896551724138,0,0.0465116279069767,0.0454545454545455,0,0.0465116279069767,0,0.1,0,0.25,0,0.0434782608695652,0,0.0153846153846154,0,0,0.19047619047619,0.133333333333333,0,0,0.125,0,0,0,0,0.0769230769230769,0.0555555555555556,0,0,0.103448275862069,0,0.222222222222222,0.1,0,0,0.11304347826087,0.06,0.0675675675675676,0.0952380952380952,0,0,0.0555555555555556,0.0952380952380952,0,0,0,0.125,0,0,0.125,0,0.0555555555555556,0.105263157894737,0.285714285714286,0,0,0,0.0416666666666667,0.0476190476190476,0.0704225352112676,0.0875,0.0512820512820513,0,0,0.04,0.0465116279069767,0,0,0.111111111111111,0,0,0,0,0.25,0,0.666666666666667,0
"MYO7B",0,0.0175438596491228,0,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0140845070422535,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAA20",0.307692307692308,0.43859649122807,0.212121212121212,0.296296296296296,0.352941176470588,0.324324324324324,0.347826086956522,0.166666666666667,0.666666666666667,0,0.1,0,1,0.117647058823529,0.176470588235294,0.333333333333333,0.4375,0.25,0.352941176470588,0.166666666666667,0.2,0.2,1,0,0,0,0,0.333333333333333,0,0,1,0.203703703703704,0.304347826086957,0.153846153846154,0.25,0.222222222222222,0.448275862068966,0.125,0.255813953488372,0.181818181818182,0,0.232558139534884,0.25,0.2,0.4,0.25,0,0.0869565217391304,0.0769230769230769,0.138461538461538,0.166666666666667,0,0.285714285714286,0.2,0.153846153846154,1,0.125,0.5,0,0,0.333333333333333,0.153846153846154,0.222222222222222,0,0.333333333333333,0.0689655172413793,0.8,0,0.1,0,0,0.356521739130435,0.41,0.189189189189189,0.285714285714286,0,0,0.166666666666667,0.333333333333333,0.6,0.25,0.294117647058824,0.5,0.333333333333333,0.1,0.375,0.75,0.222222222222222,0.473684210526316,0.285714285714286,0.333333333333333,0.25,0.857142857142857,0.291666666666667,0.285714285714286,0.338028169014085,0.35,0.102564102564103,0.25,0,0.6,0.372093023255814,0,0,0.222222222222222,0,0.166666666666667,0.714285714285714,0,0.5,0.666666666666667,0,0
"RHBDL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0.2,0,0,0,0,0.217391304347826,0.01,0.027027027027027,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0563380281690141,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RMDN2",0,0,0,0.037037037037037,0,0.027027027027027,0.0217391304347826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0.0689655172413793,0,0,0,0,0,0,0,0,0,0,0.0652173913043478,0,0.0307692307692308,0.0833333333333333,0,0,0.0666666666666667,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0.1,0,0,0.0347826086956522,0.01,0,0,0,0,0.0555555555555556,0,0,0,0.0588235294117647,0,0.166666666666667,0.1,0,0,0,0,0.142857142857143,0,0.125,0,0,0,0.028169014084507,0.025,0,0.05,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0
"RNF20",0.115384615384615,0.175438596491228,0.181818181818182,0.185185185185185,0.176470588235294,0.243243243243243,0.217391304347826,0,0.333333333333333,0,0.4,1,0,0.0588235294117647,0.0588235294117647,0.333333333333333,0.125,0,0.117647058823529,0,0.2,0,0.5,0,0.166666666666667,0,0,0.333333333333333,0,0,0.5,0.240740740740741,0.304347826086957,0.307692307692308,0.21875,0.277777777777778,0.448275862068966,0.375,0.27906976744186,0.181818181818182,0,0.27906976744186,0.25,0.166666666666667,0.6,0,0,0.260869565217391,0.153846153846154,0.0769230769230769,0.0833333333333333,0.666666666666667,0.19047619047619,0.133333333333333,0.230769230769231,0,0.25,0.25,0.166666666666667,0,0,0.0769230769230769,0.277777777777778,0,0,0.206896551724138,0.2,0.222222222222222,0.2,0.5,0,0.226086956521739,0.28,0.108108108108108,0.238095238095238,0,0,0.277777777777778,0.333333333333333,0.4,0,0.176470588235294,0.25,0.333333333333333,0.1,0.375,0,0.388888888888889,0.315789473684211,0.285714285714286,0,0.375,0.285714285714286,0.25,0.285714285714286,0.183098591549296,0.25,0.153846153846154,0.15,0,0.48,0.209302325581395,0.2,0,0.111111111111111,0.666666666666667,0.166666666666667,0.285714285714286,0.5,0.25,0,0.666666666666667,0
"SART3",0.230769230769231,0.192982456140351,0.121212121212121,0.148148148148148,0.411764705882353,0.378378378378378,0.347826086956522,0.166666666666667,0,1,0.1,0,0,0.352941176470588,0.235294117647059,0.222222222222222,0.1875,0.5,0.294117647058824,0,0,0,0,1,0.5,0,1,0.333333333333333,0,0.2,0,0.203703703703704,0.391304347826087,0.384615384615385,0.25,0.388888888888889,0.241379310344828,0.5,0.209302325581395,0.136363636363636,0,0.27906976744186,0.25,0.266666666666667,0,0,0,0.282608695652174,0.384615384615385,0.169230769230769,0,0.333333333333333,0.238095238095238,0.333333333333333,0.461538461538462,0.666666666666667,0.1875,0,0.25,0,0,0.307692307692308,0.277777777777778,0.666666666666667,0.333333333333333,0.103448275862069,0.6,0.222222222222222,0.3,0.5,0,0.173913043478261,0.34,0.162162162162162,0.428571428571429,0.25,0,0.222222222222222,0.19047619047619,0,0.3125,0.176470588235294,0.291666666666667,0.333333333333333,0.1,0.25,0,0.277777777777778,0.421052631578947,0.285714285714286,0.333333333333333,0.25,0.428571428571429,0.354166666666667,0.238095238095238,0.169014084507042,0.35,0.179487179487179,0.3,0.333333333333333,0.32,0.255813953488372,0.4,0,0.333333333333333,0,0.5,0.285714285714286,0,0.25,0,0.666666666666667,0
